 --------------------------------------------------
  #iter    #init      Sp(xstar)       ||g(xstar)||
 --------------------------------------------------
    29        1      5.791093E-03     7.727357E-03
    30        1      5.790719E-03     5.837076E-03
    31        1      5.790336E-03     5.617013E-03
    32        1      5.788680E-03     1.560957E-02
    33        1      5.788423E-03     4.332006E-03
    34        1      5.788210E-03     4.151425E-03
    35        1      5.787172E-03     1.900549E-02
    36        1      5.787172E-03     4.167793E-03
    37        1      5.786645E-03     1.634773E-02
    38        1      5.786645E-03     3.674547E-03
    39        1      5.786565E-03     2.510622E-03
    40        1      5.786503E-03     2.387565E-03
    41        1      5.786329E-03     3.986637E-03
    42        1      5.786099E-03     6.050271E-03
    43        1      5.786045E-03     2.265881E-03
    44        1      5.786015E-03     1.610326E-03
    45        1      5.785977E-03     1.515496E-03
    46        1      5.785952E-03     1.462731E-03
    47        1      5.785921E-03     1.940699E-03
    48        1      5.785892E-03     1.817040E-03
    49        1      5.785728E-03     1.250612E-02
    50        1      5.785728E-03     3.985715E-03
    51        1      5.785720E-03     8.771164E-04
 --------------------------------------------------
 --------------------------------------------------
  #iter    #init      Sp(xstar)       ||g(xstar)||
 --------------------------------------------------
     1        0      1.268542E+02     2.965982E+00
     2        1      1.353159E+01     1.001579E+04
     3        1      1.583507E+00     3.268312E+03
     4        1      2.977837E-01     1.015522E+03
     5        1      1.738639E-01     3.161190E+02
     6        1      1.610821E-01     6.057555E+01
     7        1      1.162934E-01     5.770426E+01
     8        1      9.097112E-02     1.355491E+02
     9        1      8.859768E-02     3.490542E+01
    10        1      3.402884E-02     8.267222E+00
    11        7      3.395935E-02     7.315247E+00
    12        8      3.395324E-02     7.210814E+00
    13        1      3.207555E-02     8.150832E+01
    14        1      3.158893E-02     2.552662E+01
    15        1      1.476036E-02     2.617747E+01
    16        1      1.470522E-02     5.646675E+00
    17        1      7.528881E-03     2.009417E+00
    18        1      6.620166E-03     7.539953E-01
    19        1      6.479326E-03     2.568506E-01
    20        1      6.394214E-03     8.306318E-02
    21        1      6.287295E-03     1.847630E-01
    22        1      6.283614E-03     3.995849E-02
    23        1      6.267047E-03     3.735009E-02
    24        1      6.256888E-03     3.047672E-02
    25        1      6.243327E-03     2.986052E-02
    26        1      6.234529E-03     2.724514E-02
    27        1      6.222341E-03     2.478483E-02
    28        1      6.188937E-03     6.986389E-02
    29        1      6.164705E-03     6.051424E-02
    30        1      6.164702E-03     1.206610E-02
    31        1      6.163320E-03     1.041800E-02
    32        1      6.159975E-03     1.662227E-02
    33        1      6.158862E-03     1.095845E-02
    34        1      6.157969E-03     9.222476E-03
    35        1      6.156914E-03     7.296524E-03
    36        1      6.155767E-03     7.784477E-03
    37        1      6.153324E-03     1.855254E-02
    38        1      6.152948E-03     5.595953E-03
    39        1      6.152705E-03     4.021339E-03
    40        1      6.151905E-03     1.646782E-02
    41        1      6.151905E-03     3.460275E-03
    42        1      6.151377E-03     9.800224E-03
    43        1      6.151327E-03     2.176390E-03
    44        1      6.151286E-03     2.059651E-03
    45        1      6.151221E-03     1.814985E-03
    46        1      6.150988E-03     8.272952E-03
    47        1      6.150988E-03     2.476463E-03
    48        1      6.150913E-03     5.039844E-03
    49        1      6.150913E-03     1.530721E-03
