 --------------------------------------------------
  #iter    #init      Sp(xstar)       ||g(xstar)||
 --------------------------------------------------
   223       19      5.944508E+01     5.033476E+01
   224       19      5.944508E+01     5.033476E+01
   225       19      5.944508E+01     5.033476E+01
   226       19      5.944508E+01     5.033476E+01
   227       19      5.944508E+01     5.033476E+01
   228       19      5.944508E+01     5.033476E+01
   229       19      5.944508E+01     5.033476E+01
   230       19      5.944508E+01     5.033476E+01
   231       19      5.944508E+01     5.033476E+01
   232       19      5.944508E+01     5.033476E+01
   233       19      5.944508E+01     5.033476E+01
   234       19      5.944508E+01     5.033476E+01
   235       19      5.944508E+01     5.033476E+01
   236       19      5.944508E+01     5.033476E+01
   237       19      5.944508E+01     5.033476E+01
   238       19      5.944508E+01     5.033476E+01
   239       19      5.944508E+01     5.033476E+01
   240       19      5.944508E+01     5.033476E+01
   241       19      5.944508E+01     5.033476E+01
   242       19      5.944508E+01     5.033476E+01
   243       19      5.944508E+01     5.033476E+01
   244       19      5.944508E+01     5.033476E+01
   245       19      5.944508E+01     5.033476E+01
   246       19      5.944508E+01     5.033476E+01
   247       19      5.944508E+01     5.033476E+01
   248       19      5.944508E+01     5.033476E+01
   249       19      5.944508E+01     5.033476E+01
   250       19      5.944508E+01     5.033476E+01
   251       19      5.944508E+01     5.033476E+01
   252       19      5.944508E+01     5.033476E+01
   253       19      5.944508E+01     5.033476E+01
   254       19      5.944508E+01     5.033476E+01
   255       19      5.944508E+01     5.033476E+01
   256       19      5.944508E+01     5.033476E+01
   257       19      5.944508E+01     5.033476E+01
   258       19      5.944508E+01     5.033476E+01
   259       19      5.944508E+01     5.033476E+01
   260       19      5.944508E+01     5.033476E+01
   261       19      5.944508E+01     5.033476E+01
   262       19      5.944508E+01     5.033476E+01
   263       19      5.944508E+01     5.033476E+01
   264       19      5.944508E+01     5.033476E+01
   265       19      5.944508E+01     5.033476E+01
   266       19      5.944508E+01     5.033476E+01
   267       19      5.944508E+01     5.033476E+01
   268       19      5.944508E+01     5.033476E+01
   269       19      5.944508E+01     5.033476E+01
   270       19      5.944508E+01     5.033476E+01
   271       19      5.944508E+01     5.033476E+01
   272       19      5.944508E+01     5.033476E+01
   273       19      5.944508E+01     5.033476E+01
   274       19      5.944508E+01     5.033476E+01
   275       19      5.944508E+01     5.033476E+01
   276       19      5.944508E+01     5.033476E+01
   277       19      5.944508E+01     5.033476E+01
   278       19      5.944508E+01     5.033476E+01
   279       19      5.944508E+01     5.033476E+01
   280       19      5.944508E+01     5.033476E+01
   281       19      5.944508E+01     5.033476E+01
   282       19      5.944508E+01     5.033476E+01
   283       19      5.944508E+01     5.033476E+01
   284       19      5.944508E+01     5.033476E+01
   285       19      5.944508E+01     5.033476E+01
   286       19      5.944508E+01     5.033476E+01
   287       19      5.944508E+01     5.033476E+01
   288       19      5.944508E+01     5.033476E+01
   289       19      5.944508E+01     5.033476E+01
   290       19      5.944508E+01     5.033476E+01
   291       19      5.944508E+01     5.033476E+01
   292       19      5.944508E+01     5.033476E+01
   293       19      5.944508E+01     5.033476E+01
   294       19      5.944508E+01     5.033476E+01
   295       19      5.944508E+01     5.033476E+01
   296       19      5.944508E+01     5.033476E+01
   297       19      5.944508E+01     5.033476E+01
   298       19      5.944508E+01     5.033476E+01
   299       19      5.944508E+01     5.033476E+01
   300       19      5.944508E+01     5.033476E+01
   301       19      5.944508E+01     5.033476E+01
   302       19      5.944508E+01     5.033476E+01
   303       19      5.944508E+01     5.033476E+01
   304       19      5.944508E+01     5.033476E+01
   305       19      5.944508E+01     5.033476E+01
   306       19      5.944508E+01     5.033476E+01
   307       19      5.944508E+01     5.033476E+01
   308       19      5.944508E+01     5.033476E+01
   309       19      5.944508E+01     5.033476E+01
   310       19      5.944508E+01     5.033476E+01
   311       19      5.944508E+01     5.033476E+01
   312       19      5.944508E+01     5.033476E+01
   313       19      5.944508E+01     5.033476E+01
   314       19      5.944508E+01     5.033476E+01
   315       19      5.944508E+01     5.033476E+01
   316       19      5.944508E+01     5.033476E+01
   317       19      5.944508E+01     5.033476E+01
   318       19      5.944508E+01     5.033476E+01
   319       19      5.944508E+01     5.033476E+01
   320       19      5.944508E+01     5.033476E+01
   321       19      5.944508E+01     5.033476E+01
   322       19      5.944508E+01     5.033476E+01
   323       19      5.944508E+01     5.033476E+01
   324       19      5.944508E+01     5.033476E+01
   325       19      5.944508E+01     5.033476E+01
   326       19      5.944508E+01     5.033476E+01
   327       19      5.944508E+01     5.033476E+01
   328       19      5.944508E+01     5.033476E+01
   329       19      5.944508E+01     5.033476E+01
   330       19      5.944508E+01     5.033476E+01
   331       19      5.944508E+01     5.033476E+01
   332       19      5.944508E+01     5.033476E+01
   333       19      5.944508E+01     5.033476E+01
   334       19      5.944508E+01     5.033476E+01
   335       19      5.944508E+01     5.033476E+01
   336       19      5.944508E+01     5.033476E+01
   337       19      5.944508E+01     5.033476E+01
   338       19      5.944508E+01     5.033476E+01
   339       19      5.944508E+01     5.033476E+01
   340       19      5.944508E+01     5.033476E+01
   341       19      5.944508E+01     5.033476E+01
   342       19      5.944508E+01     5.033476E+01
   343       19      5.944508E+01     5.033476E+01
   344       19      5.944508E+01     5.033476E+01
   345       19      5.944508E+01     5.033476E+01
   346       19      5.944508E+01     5.033476E+01
   347       19      5.944508E+01     5.033476E+01
   348       19      5.944508E+01     5.033476E+01
   349       19      5.944508E+01     5.033476E+01
   350       19      5.944508E+01     5.033476E+01
   351       19      5.944508E+01     5.033476E+01
   352       19      5.944508E+01     5.033476E+01
   353       19      5.944508E+01     5.033476E+01
   354       19      5.944508E+01     5.033476E+01
   355       19      5.944508E+01     5.033476E+01
   356       19      5.944508E+01     5.033476E+01
   357       19      5.944508E+01     5.033476E+01
   358       19      5.944508E+01     5.033476E+01
   359       19      5.944508E+01     5.033476E+01
   360       19      5.944508E+01     5.033476E+01
   361       19      5.944508E+01     5.033476E+01
   362       19      5.944508E+01     5.033476E+01
   363       19      5.944508E+01     5.033476E+01
   364       19      5.944508E+01     5.033476E+01
   365       19      5.944508E+01     5.033476E+01
   366       19      5.944508E+01     5.033476E+01
   367       19      5.944508E+01     5.033476E+01
